t_sec,checkpoint,umaban,rank_official,source,confidence
10,video_t10,7,1,video_frame_read,medium(vision-read)
10,video_t10,3,2,video_frame_read,medium(vision-read)
10,video_t10,10,3,video_frame_read,medium(vision-read)
10,video_t10,8,4,video_frame_read,medium(vision-read)
10,video_t10,6,5,video_frame_read,medium(vision-read)
10,video_t10,5,6,video_frame_read,medium(vision-read)
10,video_t10,1,7,video_frame_read,medium(vision-read)
10,video_t10,2,8,video_frame_read,medium(vision-read)
15,video_t15,7,1,video_frame_read,medium(vision-read)
15,video_t15,10,2,video_frame_read,medium(vision-read)
15,video_t15,4,3,video_frame_read,medium(vision-read)
15,video_t15,3,4,video_frame_read,medium(vision-read)
15,video_t15,9,5,video_frame_read,medium(vision-read)
15,video_t15,8,6,video_frame_read,medium(vision-read)
15,video_t15,5,7,video_frame_read,medium(vision-read)
15,video_t15,6,8,video_frame_read,medium(vision-read)
15,video_t15,1,9,video_frame_read,medium(vision-read)
15,video_t15,2,10,video_frame_read,medium(vision-read)
20,video_t20,2,1,video_frame_read,medium(vision-read)
20,video_t20,1,2,video_frame_read,medium(vision-read)
20,video_t20,6,3,video_frame_read,medium(vision-read)
20,video_t20,5,4,video_frame_read,medium(vision-read)
20,video_t20,8,5,video_frame_read,medium(vision-read)
20,video_t20,9,6,video_frame_read,medium(vision-read)
20,video_t20,3,7,video_frame_read,medium(vision-read)
20,video_t20,4,8,video_frame_read,medium(vision-read)
20,video_t20,10,9,video_frame_read,medium(vision-read)
20,video_t20,7,10,video_frame_read,medium(vision-read)
52,video_t52,2,1,video_frame_read,medium(vision-read)
52,video_t52,1,2,video_frame_read,medium(vision-read)
52,video_t52,6,3,video_frame_read,medium(vision-read)
52,video_t52,5,4,video_frame_read,medium(vision-read)
52,video_t52,8,5,video_frame_read,medium(vision-read)
52,video_t52,3,6,video_frame_read,medium(vision-read)
52,video_t52,9,7,video_frame_read,medium(vision-read)
52,video_t52,10,8,video_frame_read,medium(vision-read)
52,video_t52,4,9,video_frame_read,medium(vision-read)
52,video_t52,7,10,video_frame_read,medium(vision-read)
55,video_t55,2,1,video_frame_read,medium(vision-read)
55,video_t55,1,2,video_frame_read,medium(vision-read)
55,video_t55,6,3,video_frame_read,medium(vision-read)
55,video_t55,5,4,video_frame_read,medium(vision-read)
55,video_t55,8,5,video_frame_read,medium(vision-read)
55,video_t55,3,6,video_frame_read,medium(vision-read)
55,video_t55,9,7,video_frame_read,medium(vision-read)
55,video_t55,10,8,video_frame_read,medium(vision-read)
55,video_t55,4,9,video_frame_read,medium(vision-read)
55,video_t55,7,10,video_frame_read,medium(vision-read)
58,video_t58,2,1,video_frame_read,medium(vision-read)
58,video_t58,1,2,video_frame_read,medium(vision-read)
58,video_t58,5,3,video_frame_read,medium(vision-read)
58,video_t58,6,4,video_frame_read,medium(vision-read)
58,video_t58,3,5,video_frame_read,medium(vision-read)
58,video_t58,8,6,video_frame_read,medium(vision-read)
58,video_t58,9,7,video_frame_read,medium(vision-read)
58,video_t58,10,8,video_frame_read,medium(vision-read)
58,video_t58,4,9,video_frame_read,medium(vision-read)
58,video_t58,7,10,video_frame_read,medium(vision-read)
61,video_t61,2,1,video_frame_read,medium(vision-read)
61,video_t61,1,2,video_frame_read,medium(vision-read)
61,video_t61,5,3,video_frame_read,medium(vision-read)
61,video_t61,3,4,video_frame_read,medium(vision-read)
61,video_t61,6,5,video_frame_read,medium(vision-read)
61,video_t61,8,6,video_frame_read,medium(vision-read)
61,video_t61,9,7,video_frame_read,medium(vision-read)
61,video_t61,10,8,video_frame_read,medium(vision-read)
61,video_t61,4,9,video_frame_read,medium(vision-read)
61,video_t61,7,10,video_frame_read,medium(vision-read)
64,video_t64,2,1,video_frame_read,medium(vision-read)
64,video_t64,1,2,video_frame_read,medium(vision-read)
64,video_t64,3,3,video_frame_read,medium(vision-read)
64,video_t64,5,4,video_frame_read,medium(vision-read)
64,video_t64,6,5,video_frame_read,medium(vision-read)
64,video_t64,8,6,video_frame_read,medium(vision-read)
64,video_t64,9,7,video_frame_read,medium(vision-read)
64,video_t64,10,8,video_frame_read,medium(vision-read)
64,video_t64,4,9,video_frame_read,medium(vision-read)
64,video_t64,7,10,video_frame_read,medium(vision-read)
67,video_t67,2,1,video_frame_read,medium(vision-read)
67,video_t67,3,2,video_frame_read,medium(vision-read)
67,video_t67,1,3,video_frame_read,medium(vision-read)
67,video_t67,5,4,video_frame_read,medium(vision-read)
67,video_t67,6,5,video_frame_read,medium(vision-read)
67,video_t67,8,6,video_frame_read,medium(vision-read)
67,video_t67,9,7,video_frame_read,medium(vision-read)
67,video_t67,10,8,video_frame_read,medium(vision-read)
67,video_t67,4,9,video_frame_read,medium(vision-read)
67,video_t67,7,10,video_frame_read,medium(vision-read)
70,video_t70,3,1,video_frame_read,medium(vision-read)
70,video_t70,2,2,video_frame_read,medium(vision-read)
70,video_t70,1,3,video_frame_read,medium(vision-read)
70,video_t70,5,4,video_frame_read,medium(vision-read)
70,video_t70,6,5,video_frame_read,medium(vision-read)
70,video_t70,8,6,video_frame_read,medium(vision-read)
70,video_t70,9,7,video_frame_read,medium(vision-read)
70,video_t70,10,8,video_frame_read,medium(vision-read)
70,video_t70,4,9,video_frame_read,medium(vision-read)
70,video_t70,7,10,video_frame_read,medium(vision-read)
73,video_t73,3,1,video_frame_read,medium(vision-read)
73,video_t73,2,2,video_frame_read,medium(vision-read)
73,video_t73,1,3,video_frame_read,medium(vision-read)
73,video_t73,5,4,video_frame_read,medium(vision-read)
73,video_t73,6,5,video_frame_read,medium(vision-read)
73,video_t73,8,6,video_frame_read,medium(vision-read)
73,video_t73,9,7,video_frame_read,medium(vision-read)
73,video_t73,10,8,video_frame_read,medium(vision-read)
73,video_t73,4,9,video_frame_read,medium(vision-read)
73,video_t73,7,10,video_frame_read,medium(vision-read)
76,video_t76,3,1,video_frame_read,medium(vision-read)
76,video_t76,2,2,video_frame_read,medium(vision-read)
76,video_t76,1,3,video_frame_read,medium(vision-read)
76,video_t76,5,4,video_frame_read,medium(vision-read)
76,video_t76,6,5,video_frame_read,medium(vision-read)
76,video_t76,8,6,video_frame_read,medium(vision-read)
76,video_t76,9,7,video_frame_read,medium(vision-read)
76,video_t76,10,8,video_frame_read,medium(vision-read)
76,video_t76,4,9,video_frame_read,medium(vision-read)
76,video_t76,7,10,video_frame_read,medium(vision-read)
79,video_t79,3,1,video_frame_read,medium(vision-read)
79,video_t79,2,2,video_frame_read,medium(vision-read)
79,video_t79,1,3,video_frame_read,medium(vision-read)
79,video_t79,5,4,video_frame_read,medium(vision-read)
79,video_t79,6,5,video_frame_read,medium(vision-read)
79,video_t79,8,6,video_frame_read,medium(vision-read)
79,video_t79,9,7,video_frame_read,medium(vision-read)
79,video_t79,10,8,video_frame_read,medium(vision-read)
79,video_t79,4,9,video_frame_read,medium(vision-read)
79,video_t79,7,10,video_frame_read,medium(vision-read)
82,video_t82,3,1,video_frame_read,medium(vision-read)
82,video_t82,2,2,video_frame_read,medium(vision-read)
82,video_t82,1,3,video_frame_read,medium(vision-read)
82,video_t82,5,4,video_frame_read,medium(vision-read)
82,video_t82,6,5,video_frame_read,medium(vision-read)
82,video_t82,8,6,video_frame_read,medium(vision-read)
82,video_t82,9,7,video_frame_read,medium(vision-read)
82,video_t82,10,8,video_frame_read,medium(vision-read)
82,video_t82,4,9,video_frame_read,medium(vision-read)
82,video_t82,7,10,video_frame_read,medium(vision-read)
85,video_t85,3,1,video_frame_read,medium(vision-read)
85,video_t85,2,2,video_frame_read,medium(vision-read)
85,video_t85,1,3,video_frame_read,medium(vision-read)
85,video_t85,5,4,video_frame_read,medium(vision-read)
85,video_t85,6,5,video_frame_read,medium(vision-read)
85,video_t85,8,6,video_frame_read,medium(vision-read)
85,video_t85,9,7,video_frame_read,medium(vision-read)
85,video_t85,10,8,video_frame_read,medium(vision-read)
85,video_t85,4,9,video_frame_read,medium(vision-read)
85,video_t85,7,10,video_frame_read,medium(vision-read)
88,video_t88,7,3,video_frame_read,medium(vision-read)
88,video_t88,8,4,video_frame_read,medium(vision-read)
88,video_t88,9,5,video_frame_read,medium(vision-read)
88,video_t88,10,6,video_frame_read,medium(vision-read)
88,video_t88,6,7,video_frame_read,medium(vision-read)
88,video_t88,5,8,video_frame_read,medium(vision-read)
88,video_t88,2,9,video_frame_read,medium(vision-read)
88,video_t88,3,10,video_frame_read,medium(vision-read)
91,video_t91,8,1,video_frame_read,medium(vision-read)
91,video_t91,4,2,video_frame_read,medium(vision-read)
91,video_t91,7,3,video_frame_read,medium(vision-read)
91,video_t91,9,4,video_frame_read,medium(vision-read)
91,video_t91,1,5,video_frame_read,medium(vision-read)
91,video_t91,10,6,video_frame_read,medium(vision-read)
91,video_t91,6,7,video_frame_read,medium(vision-read)
91,video_t91,5,8,video_frame_read,medium(vision-read)
91,video_t91,2,9,video_frame_read,medium(vision-read)
91,video_t91,3,10,video_frame_read,medium(vision-read)
