t_sec,checkpoint,umaban,rank_official,source,confidence
15,video_t15,6,1,video_frame_read,medium(vision-read)
15,video_t15,8,2,video_frame_read,medium(vision-read)
15,video_t15,2,3,video_frame_read,medium(vision-read)
15,video_t15,9,4,video_frame_read,medium(vision-read)
15,video_t15,7,5,video_frame_read,medium(vision-read)
15,video_t15,1,6,video_frame_read,medium(vision-read)
15,video_t15,4,7,video_frame_read,medium(vision-read)
15,video_t15,3,8,video_frame_read,medium(vision-read)
15,video_t15,10,9,video_frame_read,medium(vision-read)
15,video_t15,5,10,video_frame_read,medium(vision-read)
20,video_t20,6,1,video_frame_read,medium(vision-read)
20,video_t20,8,2,video_frame_read,medium(vision-read)
20,video_t20,2,3,video_frame_read,medium(vision-read)
20,video_t20,9,4,video_frame_read,medium(vision-read)
20,video_t20,4,5,video_frame_read,medium(vision-read)
20,video_t20,11,6,video_frame_read,medium(vision-read)
20,video_t20,1,7,video_frame_read,medium(vision-read)
20,video_t20,7,8,video_frame_read,medium(vision-read)
20,video_t20,10,9,video_frame_read,medium(vision-read)
20,video_t20,3,10,video_frame_read,medium(vision-read)
20,video_t20,5,11,video_frame_read,medium(vision-read)
25,video_t25,6,1,video_frame_read,medium(vision-read)
25,video_t25,8,2,video_frame_read,medium(vision-read)
25,video_t25,2,3,video_frame_read,medium(vision-read)
25,video_t25,9,4,video_frame_read,medium(vision-read)
25,video_t25,11,5,video_frame_read,medium(vision-read)
25,video_t25,1,6,video_frame_read,medium(vision-read)
25,video_t25,4,7,video_frame_read,medium(vision-read)
25,video_t25,10,8,video_frame_read,medium(vision-read)
25,video_t25,3,9,video_frame_read,medium(vision-read)
25,video_t25,5,10,video_frame_read,medium(vision-read)
38,video_t38,6,1,video_frame_read,medium(vision-read)
38,video_t38,8,2,video_frame_read,medium(vision-read)
38,video_t38,2,3,video_frame_read,medium(vision-read)
38,video_t38,9,4,video_frame_read,medium(vision-read)
38,video_t38,4,5,video_frame_read,medium(vision-read)
38,video_t38,7,6,video_frame_read,medium(vision-read)
38,video_t38,11,7,video_frame_read,medium(vision-read)
38,video_t38,3,8,video_frame_read,medium(vision-read)
38,video_t38,10,9,video_frame_read,medium(vision-read)
38,video_t38,5,10,video_frame_read,medium(vision-read)
41,video_t41,6,1,video_frame_read,medium(vision-read)
41,video_t41,8,2,video_frame_read,medium(vision-read)
41,video_t41,2,3,video_frame_read,medium(vision-read)
41,video_t41,9,4,video_frame_read,medium(vision-read)
41,video_t41,4,5,video_frame_read,medium(vision-read)
41,video_t41,7,6,video_frame_read,medium(vision-read)
41,video_t41,11,7,video_frame_read,medium(vision-read)
41,video_t41,3,8,video_frame_read,medium(vision-read)
41,video_t41,10,9,video_frame_read,medium(vision-read)
41,video_t41,5,10,video_frame_read,medium(vision-read)
44,video_t44,6,1,video_frame_read,medium(vision-read)
44,video_t44,8,2,video_frame_read,medium(vision-read)
44,video_t44,2,3,video_frame_read,medium(vision-read)
44,video_t44,9,4,video_frame_read,medium(vision-read)
44,video_t44,4,5,video_frame_read,medium(vision-read)
44,video_t44,7,6,video_frame_read,medium(vision-read)
44,video_t44,11,7,video_frame_read,medium(vision-read)
44,video_t44,3,8,video_frame_read,medium(vision-read)
44,video_t44,10,9,video_frame_read,medium(vision-read)
44,video_t44,5,10,video_frame_read,medium(vision-read)
47,video_t47,6,1,video_frame_read,medium(vision-read)
47,video_t47,8,2,video_frame_read,medium(vision-read)
47,video_t47,2,3,video_frame_read,medium(vision-read)
47,video_t47,9,4,video_frame_read,medium(vision-read)
47,video_t47,4,5,video_frame_read,medium(vision-read)
47,video_t47,7,6,video_frame_read,medium(vision-read)
47,video_t47,11,7,video_frame_read,medium(vision-read)
47,video_t47,3,8,video_frame_read,medium(vision-read)
47,video_t47,10,9,video_frame_read,medium(vision-read)
47,video_t47,5,10,video_frame_read,medium(vision-read)
50,video_t50,6,1,video_frame_read,medium(vision-read)
50,video_t50,8,2,video_frame_read,medium(vision-read)
50,video_t50,2,3,video_frame_read,medium(vision-read)
50,video_t50,9,4,video_frame_read,medium(vision-read)
50,video_t50,4,5,video_frame_read,medium(vision-read)
50,video_t50,7,6,video_frame_read,medium(vision-read)
50,video_t50,11,7,video_frame_read,medium(vision-read)
50,video_t50,3,8,video_frame_read,medium(vision-read)
50,video_t50,10,9,video_frame_read,medium(vision-read)
50,video_t50,5,10,video_frame_read,medium(vision-read)
53,video_t53,6,1,video_frame_read,medium(vision-read)
53,video_t53,8,2,video_frame_read,medium(vision-read)
53,video_t53,2,3,video_frame_read,medium(vision-read)
53,video_t53,9,4,video_frame_read,medium(vision-read)
53,video_t53,4,5,video_frame_read,medium(vision-read)
53,video_t53,7,6,video_frame_read,medium(vision-read)
53,video_t53,11,7,video_frame_read,medium(vision-read)
53,video_t53,3,8,video_frame_read,medium(vision-read)
53,video_t53,10,9,video_frame_read,medium(vision-read)
53,video_t53,5,10,video_frame_read,medium(vision-read)
56,video_t56,6,1,video_frame_read,medium(vision-read)
56,video_t56,8,2,video_frame_read,medium(vision-read)
56,video_t56,2,3,video_frame_read,medium(vision-read)
56,video_t56,9,4,video_frame_read,medium(vision-read)
56,video_t56,4,5,video_frame_read,medium(vision-read)
56,video_t56,7,6,video_frame_read,medium(vision-read)
56,video_t56,11,7,video_frame_read,medium(vision-read)
56,video_t56,3,8,video_frame_read,medium(vision-read)
56,video_t56,10,9,video_frame_read,medium(vision-read)
56,video_t56,5,10,video_frame_read,medium(vision-read)
59,video_t59,6,1,video_frame_read,medium(vision-read)
59,video_t59,8,2,video_frame_read,medium(vision-read)
59,video_t59,2,3,video_frame_read,medium(vision-read)
59,video_t59,9,4,video_frame_read,medium(vision-read)
59,video_t59,4,5,video_frame_read,medium(vision-read)
59,video_t59,7,6,video_frame_read,medium(vision-read)
59,video_t59,11,7,video_frame_read,medium(vision-read)
59,video_t59,3,8,video_frame_read,medium(vision-read)
59,video_t59,10,9,video_frame_read,medium(vision-read)
59,video_t59,5,10,video_frame_read,medium(vision-read)
62,video_t62,6,1,video_frame_read,medium(vision-read)
62,video_t62,8,2,video_frame_read,medium(vision-read)
62,video_t62,2,3,video_frame_read,medium(vision-read)
62,video_t62,9,4,video_frame_read,medium(vision-read)
62,video_t62,4,5,video_frame_read,medium(vision-read)
62,video_t62,7,6,video_frame_read,medium(vision-read)
62,video_t62,11,7,video_frame_read,medium(vision-read)
62,video_t62,3,8,video_frame_read,medium(vision-read)
62,video_t62,10,9,video_frame_read,medium(vision-read)
62,video_t62,5,10,video_frame_read,medium(vision-read)
65,video_t65,8,1,video_frame_read,medium(vision-read)
65,video_t65,2,2,video_frame_read,medium(vision-read)
65,video_t65,4,3,video_frame_read,medium(vision-read)
65,video_t65,6,4,video_frame_read,medium(vision-read)
65,video_t65,1,5,video_frame_read,medium(vision-read)
65,video_t65,11,6,video_frame_read,medium(vision-read)
65,video_t65,10,7,video_frame_read,medium(vision-read)
65,video_t65,3,8,video_frame_read,medium(vision-read)
65,video_t65,5,9,video_frame_read,medium(vision-read)
68,video_t68,10,1,video_frame_read,medium(vision-read)
68,video_t68,11,2,video_frame_read,medium(vision-read)
68,video_t68,5,3,video_frame_read,medium(vision-read)
68,video_t68,3,4,video_frame_read,medium(vision-read)
68,video_t68,4,5,video_frame_read,medium(vision-read)
68,video_t68,9,6,video_frame_read,medium(vision-read)
68,video_t68,2,7,video_frame_read,medium(vision-read)
68,video_t68,1,8,video_frame_read,medium(vision-read)
68,video_t68,6,9,video_frame_read,medium(vision-read)
