t_sec,checkpoint,umaban,rank_official,source,confidence
15,video_t15,2,1,video_frame_read,medium(vision-read)
15,video_t15,7,2,video_frame_read,medium(vision-read)
15,video_t15,9,3,video_frame_read,medium(vision-read)
15,video_t15,12,4,video_frame_read,medium(vision-read)
15,video_t15,10,5,video_frame_read,medium(vision-read)
15,video_t15,6,6,video_frame_read,medium(vision-read)
15,video_t15,1,7,video_frame_read,medium(vision-read)
15,video_t15,3,8,video_frame_read,medium(vision-read)
15,video_t15,8,9,video_frame_read,medium(vision-read)
15,video_t15,13,10,video_frame_read,medium(vision-read)
20,video_t20,2,1,video_frame_read,medium(vision-read)
20,video_t20,4,2,video_frame_read,medium(vision-read)
20,video_t20,9,3,video_frame_read,medium(vision-read)
20,video_t20,10,4,video_frame_read,medium(vision-read)
20,video_t20,6,5,video_frame_read,medium(vision-read)
20,video_t20,1,6,video_frame_read,medium(vision-read)
20,video_t20,3,7,video_frame_read,medium(vision-read)
20,video_t20,8,8,video_frame_read,medium(vision-read)
20,video_t20,7,9,video_frame_read,medium(vision-read)
20,video_t20,12,10,video_frame_read,medium(vision-read)
20,video_t20,11,11,video_frame_read,medium(vision-read)
20,video_t20,13,12,video_frame_read,medium(vision-read)
25,video_t25,2,1,video_frame_read,medium(vision-read)
25,video_t25,7,2,video_frame_read,medium(vision-read)
25,video_t25,12,3,video_frame_read,medium(vision-read)
25,video_t25,9,4,video_frame_read,medium(vision-read)
25,video_t25,6,5,video_frame_read,medium(vision-read)
25,video_t25,11,6,video_frame_read,medium(vision-read)
25,video_t25,5,7,video_frame_read,medium(vision-read)
25,video_t25,1,8,video_frame_read,medium(vision-read)
25,video_t25,3,9,video_frame_read,medium(vision-read)
25,video_t25,13,10,video_frame_read,medium(vision-read)
25,video_t25,8,11,video_frame_read,medium(vision-read)
60,video_t60,2,1,video_frame_read,medium(vision-read)
60,video_t60,13,2,video_frame_read,medium(vision-read)
60,video_t60,11,3,video_frame_read,medium(vision-read)
60,video_t60,7,4,video_frame_read,medium(vision-read)
60,video_t60,9,5,video_frame_read,medium(vision-read)
60,video_t60,6,6,video_frame_read,medium(vision-read)
60,video_t60,5,7,video_frame_read,medium(vision-read)
60,video_t60,4,8,video_frame_read,medium(vision-read)
60,video_t60,12,9,video_frame_read,medium(vision-read)
60,video_t60,3,10,video_frame_read,medium(vision-read)
60,video_t60,1,11,video_frame_read,medium(vision-read)
63,video_t63,2,1,video_frame_read,medium(vision-read)
63,video_t63,13,2,video_frame_read,medium(vision-read)
63,video_t63,11,3,video_frame_read,medium(vision-read)
63,video_t63,7,4,video_frame_read,medium(vision-read)
63,video_t63,9,5,video_frame_read,medium(vision-read)
63,video_t63,6,6,video_frame_read,medium(vision-read)
63,video_t63,5,7,video_frame_read,medium(vision-read)
63,video_t63,4,8,video_frame_read,medium(vision-read)
63,video_t63,12,9,video_frame_read,medium(vision-read)
63,video_t63,3,10,video_frame_read,medium(vision-read)
63,video_t63,1,11,video_frame_read,medium(vision-read)
66,video_t66,2,1,video_frame_read,medium(vision-read)
66,video_t66,13,2,video_frame_read,medium(vision-read)
66,video_t66,11,3,video_frame_read,medium(vision-read)
66,video_t66,7,4,video_frame_read,medium(vision-read)
66,video_t66,9,5,video_frame_read,medium(vision-read)
66,video_t66,6,6,video_frame_read,medium(vision-read)
66,video_t66,5,7,video_frame_read,medium(vision-read)
66,video_t66,4,8,video_frame_read,medium(vision-read)
66,video_t66,12,9,video_frame_read,medium(vision-read)
66,video_t66,3,10,video_frame_read,medium(vision-read)
66,video_t66,1,11,video_frame_read,medium(vision-read)
69,video_t69,2,1,video_frame_read,medium(vision-read)
69,video_t69,13,2,video_frame_read,medium(vision-read)
69,video_t69,11,3,video_frame_read,medium(vision-read)
69,video_t69,7,4,video_frame_read,medium(vision-read)
69,video_t69,9,5,video_frame_read,medium(vision-read)
69,video_t69,6,6,video_frame_read,medium(vision-read)
69,video_t69,5,7,video_frame_read,medium(vision-read)
69,video_t69,4,8,video_frame_read,medium(vision-read)
69,video_t69,12,9,video_frame_read,medium(vision-read)
69,video_t69,3,10,video_frame_read,medium(vision-read)
69,video_t69,1,11,video_frame_read,medium(vision-read)
72,video_t72,2,1,video_frame_read,medium(vision-read)
72,video_t72,13,2,video_frame_read,medium(vision-read)
72,video_t72,11,3,video_frame_read,medium(vision-read)
72,video_t72,7,4,video_frame_read,medium(vision-read)
72,video_t72,9,5,video_frame_read,medium(vision-read)
72,video_t72,6,6,video_frame_read,medium(vision-read)
72,video_t72,5,7,video_frame_read,medium(vision-read)
72,video_t72,4,8,video_frame_read,medium(vision-read)
72,video_t72,3,9,video_frame_read,medium(vision-read)
72,video_t72,1,10,video_frame_read,medium(vision-read)
72,video_t72,12,11,video_frame_read,medium(vision-read)
75,video_t75,2,1,video_frame_read,medium(vision-read)
75,video_t75,13,2,video_frame_read,medium(vision-read)
75,video_t75,11,3,video_frame_read,medium(vision-read)
75,video_t75,7,4,video_frame_read,medium(vision-read)
75,video_t75,5,5,video_frame_read,medium(vision-read)
75,video_t75,6,6,video_frame_read,medium(vision-read)
75,video_t75,4,7,video_frame_read,medium(vision-read)
75,video_t75,10,8,video_frame_read,medium(vision-read)
75,video_t75,12,9,video_frame_read,medium(vision-read)
75,video_t75,3,10,video_frame_read,medium(vision-read)
75,video_t75,1,11,video_frame_read,medium(vision-read)
78,video_t78,2,1,video_frame_read,medium(vision-read)
78,video_t78,13,2,video_frame_read,medium(vision-read)
78,video_t78,11,3,video_frame_read,medium(vision-read)
78,video_t78,7,4,video_frame_read,medium(vision-read)
78,video_t78,9,5,video_frame_read,medium(vision-read)
78,video_t78,6,6,video_frame_read,medium(vision-read)
78,video_t78,5,7,video_frame_read,medium(vision-read)
78,video_t78,4,8,video_frame_read,medium(vision-read)
78,video_t78,10,9,video_frame_read,medium(vision-read)
78,video_t78,12,10,video_frame_read,medium(vision-read)
78,video_t78,3,11,video_frame_read,medium(vision-read)
78,video_t78,1,12,video_frame_read,medium(vision-read)
81,video_t81,2,1,video_frame_read,medium(vision-read)
81,video_t81,13,2,video_frame_read,medium(vision-read)
81,video_t81,11,3,video_frame_read,medium(vision-read)
81,video_t81,7,4,video_frame_read,medium(vision-read)
81,video_t81,9,5,video_frame_read,medium(vision-read)
81,video_t81,6,6,video_frame_read,medium(vision-read)
81,video_t81,5,7,video_frame_read,medium(vision-read)
81,video_t81,4,8,video_frame_read,medium(vision-read)
81,video_t81,3,9,video_frame_read,medium(vision-read)
81,video_t81,12,10,video_frame_read,medium(vision-read)
81,video_t81,10,11,video_frame_read,medium(vision-read)
81,video_t81,8,12,video_frame_read,medium(vision-read)
84,video_t84,2,1,video_frame_read,medium(vision-read)
84,video_t84,10,2,video_frame_read,medium(vision-read)
84,video_t84,12,3,video_frame_read,medium(vision-read)
84,video_t84,7,4,video_frame_read,medium(vision-read)
84,video_t84,9,5,video_frame_read,medium(vision-read)
84,video_t84,6,6,video_frame_read,medium(vision-read)
84,video_t84,4,7,video_frame_read,medium(vision-read)
84,video_t84,1,8,video_frame_read,medium(vision-read)
84,video_t84,5,9,video_frame_read,medium(vision-read)
84,video_t84,3,10,video_frame_read,medium(vision-read)
84,video_t84,8,11,video_frame_read,medium(vision-read)
84,video_t84,11,12,video_frame_read,medium(vision-read)
87,video_t87,2,1,video_frame_read,medium(vision-read)
87,video_t87,12,2,video_frame_read,medium(vision-read)
87,video_t87,7,3,video_frame_read,medium(vision-read)
87,video_t87,9,4,video_frame_read,medium(vision-read)
87,video_t87,6,5,video_frame_read,medium(vision-read)
87,video_t87,4,6,video_frame_read,medium(vision-read)
87,video_t87,1,7,video_frame_read,medium(vision-read)
87,video_t87,3,8,video_frame_read,medium(vision-read)
87,video_t87,10,9,video_frame_read,medium(vision-read)
87,video_t87,13,10,video_frame_read,medium(vision-read)
87,video_t87,8,11,video_frame_read,medium(vision-read)
87,video_t87,11,12,video_frame_read,medium(vision-read)
90,video_t90,2,1,video_frame_read,medium(vision-read)
90,video_t90,9,2,video_frame_read,medium(vision-read)
90,video_t90,7,3,video_frame_read,medium(vision-read)
90,video_t90,12,4,video_frame_read,medium(vision-read)
90,video_t90,11,5,video_frame_read,medium(vision-read)
90,video_t90,10,6,video_frame_read,medium(vision-read)
90,video_t90,4,7,video_frame_read,medium(vision-read)
90,video_t90,1,8,video_frame_read,medium(vision-read)
90,video_t90,6,9,video_frame_read,medium(vision-read)
90,video_t90,3,10,video_frame_read,medium(vision-read)
90,video_t90,5,11,video_frame_read,medium(vision-read)
90,video_t90,8,12,video_frame_read,medium(vision-read)
93,video_t93,2,1,video_frame_read,medium(vision-read)
93,video_t93,9,2,video_frame_read,medium(vision-read)
93,video_t93,7,3,video_frame_read,medium(vision-read)
93,video_t93,13,4,video_frame_read,medium(vision-read)
93,video_t93,11,5,video_frame_read,medium(vision-read)
93,video_t93,4,6,video_frame_read,medium(vision-read)
93,video_t93,1,7,video_frame_read,medium(vision-read)
93,video_t93,10,8,video_frame_read,medium(vision-read)
93,video_t93,6,9,video_frame_read,medium(vision-read)
93,video_t93,3,10,video_frame_read,medium(vision-read)
93,video_t93,5,11,video_frame_read,medium(vision-read)
93,video_t93,8,12,video_frame_read,medium(vision-read)
96,video_t96,2,1,video_frame_read,medium(vision-read)
96,video_t96,9,2,video_frame_read,medium(vision-read)
96,video_t96,7,3,video_frame_read,medium(vision-read)
96,video_t96,13,4,video_frame_read,medium(vision-read)
96,video_t96,11,5,video_frame_read,medium(vision-read)
96,video_t96,4,6,video_frame_read,medium(vision-read)
96,video_t96,1,7,video_frame_read,medium(vision-read)
96,video_t96,10,8,video_frame_read,medium(vision-read)
96,video_t96,6,9,video_frame_read,medium(vision-read)
96,video_t96,3,10,video_frame_read,medium(vision-read)
96,video_t96,5,11,video_frame_read,medium(vision-read)
96,video_t96,8,12,video_frame_read,medium(vision-read)
99,video_t99,2,1,video_frame_read,medium(vision-read)
99,video_t99,9,2,video_frame_read,medium(vision-read)
99,video_t99,7,3,video_frame_read,medium(vision-read)
99,video_t99,13,4,video_frame_read,medium(vision-read)
99,video_t99,11,5,video_frame_read,medium(vision-read)
99,video_t99,4,6,video_frame_read,medium(vision-read)
99,video_t99,10,7,video_frame_read,medium(vision-read)
99,video_t99,6,8,video_frame_read,medium(vision-read)
99,video_t99,3,9,video_frame_read,medium(vision-read)
99,video_t99,5,10,video_frame_read,medium(vision-read)
99,video_t99,8,11,video_frame_read,medium(vision-read)
102,video_t102,2,1,video_frame_read,medium(vision-read)
102,video_t102,9,2,video_frame_read,medium(vision-read)
102,video_t102,7,3,video_frame_read,medium(vision-read)
102,video_t102,13,4,video_frame_read,medium(vision-read)
